City,Country,Latitude,Longitudes,Max_Temprature(F),Humidity(%),Windspeed(MPH),Cloudiness(%),Date
butaritari,KI,9.53,168.16,84.05,64,6.87,90,2019-08-30
jamestown,SH,-7.59,-1.21,46.97,43,10.80,0,2019-08-30
thompson,CA,69.60,-93.10,51.80,43,9.17,5,2019-08-30
cockburn town,BS,29.37,-70.98,91.40,84,5.82,20,2019-08-30
port-gentil,GA,-0.10,6.99,80.60,78,13.87,40,2019-08-30
saskylakh,RU,76.39,119.27,35.09,82,1.63,1,2019-08-30
carnarvon,AU,-20.54,110.82,49.31,27,21.18,0,2019-08-30
saint-pierre,PM,38.54,-53.78,84.20,36,4.70,0,2019-08-30
qaanaaq,GL,88.47,-70.49,41.75,57,11.77,100,2019-08-30
ziro,IN,27.95,93.09,60.65,94,2.26,99,2019-08-30
ewa beach,US,15.32,-159.67,80.60,78,3.36,1,2019-08-30
qasigiannguit,GL,68.50,-49.66,51.80,25,20.80,20,2019-08-30
saldanha,ZA,-31.81,15.15,88.37,19,13.06,9,2019-08-30
noumea,NC,-23.64,164.86,73.00,93,10.29,75,2019-08-30
torbay,CA,32.01,-48.25,66.99,82,20.80,75,2019-08-30
ushuaia,AR,-77.73,-49.81,39.20,90,3.36,20,2019-08-30
tamboril,DO,19.55,-70.47,96.11,24,7.09,41,2019-08-30
fuerte olimpo,PY,-20.58,-58.98,102.23,17,11.32,38,2019-08-30
emmett,US,44.97,-115.90,81.00,47,9.17,1,2019-08-30
avarua,CK,-46.78,-162.92,69.80,56,8.05,83,2019-08-30
hermanus,ZA,-67.35,1.86,55.99,72,8.99,50,2019-08-30
punta arenas,CL,-64.63,-95.49,42.80,75,14.99,75,2019-08-30
hamilton,BM,30.77,-71.26,77.00,56,13.87,20,2019-08-30
pevek,RU,85.10,165.66,38.15,96,8.86,100,2019-08-30
tuktoyaktuk,CA,89.65,-142.00,37.40,74,9.17,75,2019-08-30
albany,AU,-51.50,115.40,80.01,64,8.05,90,2019-08-30
holme,NO,59.07,3.13,69.80,68,4.70,90,2019-08-30
ostrovnoy,RU,72.89,40.43,56.15,78,17.69,54,2019-08-30
fairbanks,US,64.60,-145.09,48.00,93,1.83,1,2019-08-30
bam,IR,29.55,58.27,61.55,28,2.26,2,2019-08-30
yacuiba,BO,-21.93,-64.05,84.20,51,5.82,0,2019-08-30
nikolskoye,RU,36.87,179.30,73.40,56,4.47,20,2019-08-30
kapaa,US,36.05,-166.50,80.60,78,10.29,20,2019-08-30
busselton,AU,-36.61,108.83,54.00,98,34.94,76,2019-08-30
rikitea,PF,-37.19,-130.46,70.73,77,23.67,95,2019-08-30
east london,ZA,-79.07,55.54,60.80,63,5.82,0,2019-08-30
qaqortoq,GL,62.97,-46.21,51.80,69,3.36,75,2019-08-30
berlevag,NO,83.24,30.44,69.80,56,21.92,0,2019-08-30
sechura,PE,-7.99,-83.50,61.55,94,13.67,21,2019-08-30
vung tau,VN,8.30,108.09,79.73,84,9.78,100,2019-08-30
sheltozero,RU,62.15,35.54,60.47,84,4.54,0,2019-08-30
tasiilaq,GL,83.98,-37.32,44.60,50,25.28,75,2019-08-30
portobelo,PA,11.28,-79.92,82.40,83,10.29,40,2019-08-30
ilulissat,GL,73.07,-44.82,51.80,25,20.80,20,2019-08-30
mar del plata,AR,-66.22,-28.69,52.37,34,24.56,0,2019-08-30
yellowknife,CA,86.64,-99.47,48.20,61,9.17,75,2019-08-30
polunochnoye,RU,62.36,60.39,42.29,74,5.59,43,2019-08-30
ponta do sol,CV,15.72,-38.74,83.69,27,5.99,0,2019-08-30
port-cartier,CA,56.40,-70.07,63.00,93,6.93,90,2019-08-30
libertador general san martin,AR,-23.82,-64.84,85.85,28,7.29,0,2019-08-30
atuona,PF,0.75,-125.02,79.73,73,20.98,36,2019-08-30
portland,AU,-53.28,131.93,82.00,53,5.82,20,2019-08-30
kokologo,BF,11.93,-1.78,82.40,74,6.93,40,2019-08-30
port alfred,ZA,-49.02,31.78,60.01,64,2.86,22,2019-08-30
yulara,AU,-22.44,127.41,48.20,23,4.70,0,2019-08-30
san patricio,MX,16.35,-107.90,84.41,50,6.17,58,2019-08-30
homer,US,57.33,-148.31,50.00,100,3.36,1,2019-08-30
cape town,ZA,-71.19,-12.33,59.00,82,9.17,20,2019-08-30
arraial do cabo,BR,-32.75,-29.58,78.80,54,20.80,40,2019-08-30
khandyga,RU,64.65,139.14,45.71,80,1.12,75,2019-08-30
baykit,RU,64.04,96.33,46.61,86,5.35,48,2019-08-30
dikson,RU,75.05,78.62,41.21,98,15.55,100,2019-08-30
harper,LR,2.33,-9.23,91.00,45,8.05,1,2019-08-30
nelson bay,AU,-37.55,160.61,57.99,100,6.93,75,2019-08-30
vanavara,RU,60.10,102.45,47.33,75,2.51,40,2019-08-30
paamiut,GL,61.49,-49.18,45.17,81,17.67,85,2019-08-30
esperance,AU,-38.78,126.55,46.40,87,10.29,0,2019-08-30
sola,VU,-12.14,169.87,73.43,54,4.00,54,2019-08-30
meulaboh,ID,-4.26,90.39,82.61,76,7.65,100,2019-08-30
adrar,DZ,27.11,3.70,109.40,11,6.93,17,2019-08-30
bambous virieux,MU,-31.72,71.79,72.00,73,10.29,20,2019-08-30
mareeba,AU,-16.75,141.42,64.40,88,4.70,6,2019-08-30
san francisco menendez,SV,13.70,-90.21,89.63,49,5.39,22,2019-08-30
fare,PF,-14.84,-150.65,78.83,69,11.56,43,2019-08-30
hithadhoo,MV,-21.56,83.45,83.51,69,5.91,81,2019-08-30
yarmouth,CA,41.15,-67.08,73.99,83,10.29,20,2019-08-30
fez,MA,34.02,-4.73,100.40,19,9.17,20,2019-08-30
vaini,TO,-81.45,-172.37,71.60,94,5.82,40,2019-08-30
qorveh,IR,35.23,47.76,67.49,20,7.72,25,2019-08-30
nampula,MZ,-14.53,38.93,77.00,50,6.93,40,2019-08-30
puerto ayora,EC,-18.25,-94.64,77.00,69,16.11,75,2019-08-30
upernavik,GL,72.18,-60.69,44.63,59,6.78,100,2019-08-30
pemba,MZ,-13.40,41.31,75.20,83,9.17,75,2019-08-30
chuy,UY,-59.74,-23.33,55.25,74,10.76,100,2019-08-30
sao filipe,CV,7.82,-26.08,79.19,84,13.15,11,2019-08-30
pangnirtung,CA,60.37,-62.97,50.00,66,27.51,90,2019-08-30
guerrero negro,MX,26.86,-117.26,69.29,87,8.84,0,2019-08-30
port elizabeth,ZA,-70.08,30.87,87.01,37,12.75,0,2019-08-30
mataura,PF,-69.54,-144.47,48.00,93,13.00,100,2019-08-30
golyshmanovo,RU,56.53,68.54,47.87,95,16.04,100,2019-08-30
blackwater,AU,-22.57,149.45,75.20,56,13.87,48,2019-08-30
saint-francois,GP,21.57,-49.78,89.60,33,4.70,0,2019-08-30
pisco,PE,-17.09,-83.48,71.60,30,5.82,90,2019-08-30
tura,RU,65.78,102.90,40.31,81,1.01,10,2019-08-30
brzeg,PL,50.91,17.39,80.60,54,5.82,0,2019-08-30
kholodnyy,RU,61.19,146.98,37.07,92,2.93,99,2019-08-30
saint-leu,RE,-21.88,53.57,73.40,73,5.82,75,2019-08-30
muromtsevo,RU,56.01,74.80,52.73,84,8.52,77,2019-08-30
saint-philippe,RE,-46.81,61.59,75.00,69,8.05,75,2019-08-30
khatanga,RU,76.67,103.52,43.01,69,8.16,5,2019-08-30
hilo,US,13.41,-136.87,72.00,68,6.93,1,2019-08-30
klaksvik,FO,69.74,-7.42,51.80,93,18.34,91,2019-08-30
kaitangata,NZ,-84.69,178.80,48.00,66,11.01,100,2019-08-30
rapid valley,US,42.93,-103.25,62.60,71,3.36,1,2019-08-30
touros,BR,-0.52,-34.19,80.60,74,14.99,75,2019-08-30
bluff,NZ,-82.34,168.20,60.83,42,8.14,49,2019-08-30
prince rupert,CA,48.77,-135.55,53.60,100,2.24,75,2019-08-30
margate,ZA,-36.12,35.57,44.60,70,17.22,0,2019-08-30
ribeira grande,PT,41.70,-33.88,73.40,88,9.17,40,2019-08-30
port lincoln,AU,-35.90,136.23,60.11,46,30.56,47,2019-08-30
nome,US,64.71,-162.48,90.00,66,5.82,75,2019-08-30
picos,BR,-7.04,-41.66,93.05,26,8.63,2,2019-08-30
matelica,IT,43.04,12.91,86.00,74,8.05,0,2019-08-30
seydi,TM,39.26,62.70,87.80,62,9.17,20,2019-08-30
ongandjera,NA,-17.76,15.11,75.95,17,15.86,2,2019-08-30
lieksa,FI,63.45,30.60,62.09,84,6.93,78,2019-08-30
skjervoy,NO,72.11,20.39,55.40,87,10.29,75,2019-08-30
severo-kurilsk,RU,37.37,167.24,49.49,89,6.98,18,2019-08-30
bethel,US,42.48,-163.86,51.80,87,4.70,40,2019-08-30
kandi,BJ,11.03,2.70,77.93,87,1.86,48,2019-08-30
cidreira,BR,-59.41,-20.55,76.85,56,5.79,85,2019-08-30
batemans bay,AU,-42.38,157.85,48.99,93,7.00,95,2019-08-30
rio grande,BR,-42.23,-40.77,62.60,93,5.82,90,2019-08-30
hirara,JP,27.27,125.11,83.51,83,14.72,84,2019-08-30
makungu,TZ,-8.71,35.47,58.67,70,4.85,1,2019-08-30
hobart,AU,-88.56,136.70,44.60,70,17.22,0,2019-08-30
kodiak,US,42.58,-144.77,73.99,77,11.41,1,2019-08-30
angoram,PG,-4.00,143.88,72.35,97,1.30,21,2019-08-30
tuatapere,NZ,-50.11,162.04,48.00,93,11.99,100,2019-08-30
dalnerechensk,RU,45.64,134.04,59.39,97,8.93,100,2019-08-30
panlaitan,PH,12.34,118.98,81.35,81,5.68,100,2019-08-30
mana,GF,11.75,-52.94,88.73,49,7.07,19,2019-08-30
castro,CL,-42.66,-86.45,46.40,87,2.24,75,2019-08-30
dasoguz,TM,41.00,59.56,68.00,40,6.93,0,2019-08-30
ardmore,US,34.44,-96.95,87.01,45,5.82,1,2019-08-30
veraval,IN,17.43,68.07,79.00,36,4.70,0,2019-08-30
hasaki,JP,28.15,156.96,77.00,88,5.82,75,2019-08-30
lere,NG,10.58,9.20,78.29,81,0.65,64,2019-08-30
iqaluit,CA,60.62,-74.48,41.00,93,21.92,90,2019-08-30
deputatskiy,RU,69.25,138.94,23.57,84,2.57,0,2019-08-30
barrow,US,75.64,-148.15,60.65,39,9.64,0,2019-08-30
maniitsoq,GL,59.52,-58.47,48.95,47,5.35,100,2019-08-30
kavieng,PG,-1.56,149.72,83.15,76,8.05,85,2019-08-30
parakai,NZ,-36.69,174.09,53.60,76,12.75,54,2019-08-30
hualmay,PE,-11.16,-77.92,60.11,85,8.48,100,2019-08-30
cedar city,US,38.51,-113.68,84.00,32,10.78,1,2019-08-30
vangaindrano,MG,-25.68,51.99,64.97,88,2.66,14,2019-08-30
porbandar,IN,17.04,64.76,82.79,85,16.26,67,2019-08-30
xuddur,SO,5.56,43.41,80.09,58,16.04,43,2019-08-30
oudtshoorn,ZA,-33.86,21.87,57.20,71,9.17,75,2019-08-30
aquiraz,BR,-3.55,-37.89,86.00,51,21.92,20,2019-08-30
codrington,AG,21.42,-55.97,53.01,87,2.95,75,2019-08-30
kutulik,RU,53.08,102.50,57.23,86,3.94,45,2019-08-30
goderich,SL,6.15,-16.72,71.01,57,21.00,0,2019-08-30
tilichiki,RU,58.40,168.33,47.87,91,3.80,100,2019-08-30
shevchenko,UA,48.80,37.92,64.79,52,8.21,52,2019-08-30
hornepayne,CA,48.85,-84.12,50.93,80,9.98,99,2019-08-30
potrerillos arriba,PA,8.64,-82.56,86.00,70,4.70,40,2019-08-30
fergus falls,US,47.01,-95.98,66.00,59,8.05,1,2019-08-30
vanimo,PG,2.66,140.24,80.45,80,8.08,86,2019-08-30
kruisfontein,ZA,-59.19,27.46,50.75,77,10.11,0,2019-08-30
serenje,ZM,-12.56,30.41,63.89,37,1.59,7,2019-08-30
mount gambier,AU,-42.04,138.46,46.40,75,11.41,0,2019-08-30
juneau,US,59.83,-130.63,48.20,87,4.70,1,2019-08-30
vestmannaeyjar,IS,56.44,-22.48,55.40,66,5.82,75,2019-08-30
mangan,IN,28.79,88.03,59.93,90,0.69,95,2019-08-30
pecos,US,31.59,-104.10,91.00,33,4.70,1,2019-08-30
grand gaube,MU,-13.33,67.37,73.00,73,10.29,20,2019-08-30
longyearbyen,SJ,85.37,20.38,48.20,87,11.41,75,2019-08-30
georgetown,SH,-21.96,-19.97,89.60,70,9.17,20,2019-08-30
broome,AU,-18.32,124.76,77.00,46,11.41,0,2019-08-30
norman wells,CA,62.67,-126.61,44.60,93,4.70,90,2019-08-30
hokitika,NZ,-40.12,167.78,44.81,79,3.87,63,2019-08-30
san nicolas,PH,14.80,119.17,78.80,88,3.36,90,2019-08-30
aksu,CN,42.12,80.37,62.60,48,11.18,0,2019-08-30
bintulu,MY,6.05,110.34,78.80,94,3.36,75,2019-08-30
gorgan,IR,36.84,54.74,78.80,57,9.17,0,2019-08-30
issenye,TZ,-1.81,34.38,83.51,68,4.21,0,2019-08-30
katsuura,JP,23.09,147.54,77.00,94,5.82,75,2019-08-30
saint george,BM,26.92,-57.68,87.80,25,9.17,0,2019-08-30
victoria,SC,-3.21,56.50,84.20,83,4.70,75,2019-08-30
srednekolymsk,RU,72.31,153.02,35.45,88,1.72,87,2019-08-30
cerro de pasco,PE,-10.52,-76.22,54.89,25,11.97,44,2019-08-30
matara,LK,5.06,80.69,82.40,65,4.70,75,2019-08-30
tignere,CM,8.15,12.30,68.75,94,1.83,99,2019-08-30
sargatskoye,RU,55.80,73.14,52.73,93,7.58,73,2019-08-30
saint anthony,CA,55.69,-56.49,73.99,63,11.41,75,2019-08-30
road town,VG,17.44,-64.68,87.80,66,9.17,20,2019-08-30
amnat charoen,TH,15.93,104.38,73.25,96,14.18,100,2019-08-30
bredasdorp,ZA,-81.63,18.94,57.20,54,14.99,39,2019-08-30
ngunguru,NZ,-31.07,178.90,48.99,92,9.73,82,2019-08-30
brae,GB,61.30,-0.98,57.20,87,16.11,20,2019-08-30
mbuji-mayi,CD,-6.13,23.25,75.20,69,9.17,75,2019-08-30
kichera,RU,55.69,110.13,48.77,79,4.72,67,2019-08-30
pitimbu,BR,-7.44,-26.52,78.80,78,13.87,75,2019-08-30
satara,IN,17.76,73.89,71.09,93,3.80,100,2019-08-30
bathsheba,BB,13.35,-55.39,87.80,70,10.29,20,2019-08-30
nyurba,RU,64.21,117.91,48.77,79,2.33,14,2019-08-30
gelemso,ET,8.30,40.17,69.29,63,9.08,57,2019-08-30
dabat,ET,12.94,37.44,69.11,84,2.19,31,2019-08-30
hollins,US,37.75,-80.07,86.00,53,4.38,1,2019-08-30
nanortalik,GL,56.76,-43.82,43.37,85,2.15,100,2019-08-30
airai,PW,14.08,144.59,65.51,67,4.81,24,2019-08-30
biltine,TD,15.49,19.28,91.43,41,6.60,4,2019-08-30
chokurdakh,RU,86.94,152.47,35.45,73,2.15,97,2019-08-30
zakan-yurt,RU,43.33,45.40,69.80,52,11.18,0,2019-08-30
mahebourg,MU,-49.43,81.34,72.00,73,10.29,20,2019-08-30
arlit,NE,19.60,5.16,102.05,16,1.92,18,2019-08-30
vytegra,RU,60.89,36.95,60.83,89,12.26,0,2019-08-30
bambanglipuro,ID,-13.08,109.78,73.79,86,17.98,11,2019-08-30
sovetskoye,RU,52.29,85.58,61.00,29,4.00,0,2019-08-30
puerto baquerizo moreno,EC,4.48,-88.07,75.20,73,14.99,75,2019-08-30
bol,TD,7.97,15.65,82.79,69,3.53,90,2019-08-30
vila velha,BR,-26.11,-27.59,86.00,51,21.92,20,2019-08-30
ancud,CL,-39.03,-93.54,46.40,87,2.24,75,2019-08-30
new norfolk,AU,-64.93,128.18,44.60,70,17.22,0,2019-08-30
havelock,US,34.72,-76.42,89.60,40,9.17,20,2019-08-30
punta alta,AR,-38.58,-61.51,89.60,40,6.93,0,2019-08-30
zharkent,KZ,43.34,79.90,53.99,65,2.62,0,2019-08-30
turukhansk,RU,62.66,87.54,45.53,70,9.33,93,2019-08-30
golfito,CR,8.41,-83.12,83.69,74,4.41,30,2019-08-30
kondinskoye,RU,59.99,68.33,48.59,72,19.04,98,2019-08-30
lebu,CL,-34.75,-86.01,57.77,84,2.46,97,2019-08-30
san jose,GT,6.88,-93.75,83.69,38,5.28,9,2019-08-30
inhambane,MZ,-22.98,35.75,75.20,83,13.87,20,2019-08-30
chimbote,PE,-13.03,-86.47,59.75,91,9.48,79,2019-08-30
riyadh,SA,21.92,44.55,98.60,20,2.24,0,2019-08-30
sarti,GR,39.93,24.26,78.83,58,0.40,7,2019-08-30
yeppoon,AU,-20.19,155.43,62.60,82,3.36,40,2019-08-30
halifax,CA,42.58,-61.64,82.00,54,10.29,20,2019-08-30
namibe,AO,-18.23,5.65,63.71,86,12.19,25,2019-08-30
vila franca do campo,PT,43.69,-22.12,75.20,78,14.99,20,2019-08-30
coruripe,BR,-13.89,-32.30,77.39,73,12.88,96,2019-08-30
karratha,AU,-21.57,116.82,67.67,78,15.64,0,2019-08-30
moron,MN,46.91,98.69,83.87,72,3.51,77,2019-08-30
doka,SD,14.68,35.35,78.83,82,6.98,81,2019-08-30
oshakati,NA,-18.32,15.53,77.57,16,11.23,0,2019-08-30
clyde river,CA,71.92,-64.73,44.60,93,21.92,75,2019-08-30
pangai,TO,-17.98,-178.48,70.37,76,24.09,76,2019-08-30
alenquer,BR,-1.41,-55.07,87.80,70,14.99,20,2019-08-30
pulsano,IT,39.96,17.11,86.00,83,12.75,20,2019-08-30
port hardy,CA,41.60,-140.86,53.60,100,5.82,90,2019-08-30
setermoen,NO,67.63,18.85,55.40,87,4.70,75,2019-08-30
nakhon thai,TH,17.22,100.90,73.79,98,3.98,100,2019-08-30
soe,ID,-11.23,125.11,68.00,94,4.70,16,2019-08-30
hami,CN,44.44,92.49,84.05,13,10.76,5,2019-08-30
aklavik,CA,78.89,-142.97,37.40,93,4.70,75,2019-08-30
sovetskiy,RU,57.01,48.42,44.09,84,7.11,3,2019-08-30
asahikawa,JP,43.95,142.30,58.49,98,4.59,58,2019-08-30
falmouth,US,40.55,-70.85,64.40,77,13.87,40,2019-08-30
portales,US,34.19,-103.38,89.01,35,3.36,1,2019-08-30
bitung,ID,0.34,125.88,71.60,88,3.36,20,2019-08-30
ponta delgada,PT,37.18,-25.79,75.20,78,14.99,20,2019-08-30
faanui,PF,-6.27,-149.85,78.47,66,8.88,28,2019-08-30
lompoc,US,26.26,-133.77,66.00,100,5.82,90,2019-08-30
flinders,AU,-34.92,129.66,57.00,100,5.82,90,2019-08-30
luba,GQ,3.77,8.39,75.05,92,1.95,99,2019-08-30
virtsu,EE,58.14,23.45,66.20,72,8.05,0,2019-08-30
roma,AU,-28.12,145.37,89.60,51,5.82,20,2019-08-30
alofi,NU,-16.57,-165.65,71.60,68,11.41,75,2019-08-30
nyagan,RU,62.35,65.59,45.53,72,8.79,90,2019-08-30
grindavik,IS,57.53,-24.09,51.80,76,20.80,75,2019-08-30
nantucket,US,40.13,-68.35,81.00,65,19.46,1,2019-08-30
nanakuli,US,14.85,-162.60,80.60,88,4.70,1,2019-08-30
lagoa,PT,50.81,-30.88,84.00,54,5.82,0,2019-08-30
dingle,IE,53.03,-15.21,74.51,81,1.86,100,2019-08-30
fortuna,US,36.92,-137.96,70.00,77,3.36,40,2019-08-30
daman,IN,20.60,72.34,82.61,83,13.42,32,2019-08-30
vila do maio,CV,14.46,-21.92,80.60,83,4.70,75,2019-08-30
hope,US,33.57,-93.57,89.01,69,12.75,75,2019-08-30
taguatinga,BR,-12.61,-46.67,87.01,30,4.70,20,2019-08-30
ahipara,NZ,-32.86,166.39,53.01,100,13.44,64,2019-08-30
talnakh,RU,80.45,90.67,48.20,93,4.47,75,2019-08-30
piacabucu,BR,-12.84,-33.68,78.11,72,11.36,100,2019-08-30
buchanan,LR,-0.17,-13.02,77.00,94,11.36,75,2019-08-30
sitka,US,51.30,-138.94,73.99,78,1.01,49,2019-08-30
doha,KW,29.71,45.22,100.40,60,3.36,0,2019-08-30
fuyu,CN,45.23,124.62,58.31,88,2.95,40,2019-08-30
warmbad,NA,-28.49,19.92,79.00,50,4.70,20,2019-08-30
nouakchott,MR,17.69,-16.26,91.40,59,17.22,40,2019-08-30
college,US,75.59,-145.91,48.00,93,1.83,1,2019-08-30
