City,Country,Latitude,Longitudes,Max_Temprature(F),Humidity(%),Windspeed(MPH),Cloudiness(%),Date
gisborne,NZ,-40.89,179.41,45.00,97,1.99,21,2019-08-30
chernyshevskiy,RU,63.19,111.73,48.05,93,2.10,21,2019-08-30
huimilpan,MX,20.30,-100.32,71.60,49,8.05,5,2019-08-30
stephenville,US,32.00,-98.21,64.99,93,17.22,90,2019-08-30
alindao,CF,5.27,21.45,71.45,95,2.95,100,2019-08-30
dhali,IN,10.45,77.16,77.00,83,9.17,40,2019-08-30
santa isabel do rio negro,BR,2.31,-64.45,94.13,41,3.36,44,2019-08-30
alghero,IT,39.98,7.00,84.20,62,8.05,20,2019-08-30
bandraboua,YT,-11.51,45.56,77.00,83,3.36,0,2019-08-30
narsaq,GL,84.21,-59.80,51.80,69,3.36,75,2019-08-30
ranong,TH,10.98,96.81,80.81,83,23.53,100,2019-08-30
estelle,US,26.73,-88.95,86.00,48,9.17,23,2019-08-30
inta,RU,65.46,59.82,42.29,78,12.30,90,2019-08-30
sault sainte marie,CA,46.01,-85.23,66.20,45,19.46,90,2019-08-30
cori,IT,41.63,12.87,89.60,51,5.82,20,2019-08-30
ossora,RU,58.76,163.20,48.23,89,4.43,100,2019-08-30
marienburg,SR,10.92,-53.66,80.60,57,4.70,75,2019-08-30
nambucca heads,AU,-31.03,153.99,50.00,93,2.24,9,2019-08-30
gat,LY,23.68,8.40,84.20,94,6.93,75,2019-08-30
ust-kulom,RU,61.03,53.32,39.41,81,4.09,0,2019-08-30
chifeng,CN,43.48,119.75,54.17,62,4.25,0,2019-08-30
jatiroto,ID,-9.02,111.06,65.87,96,3.02,13,2019-08-30
morondava,MG,-20.52,42.46,76.85,69,13.73,35,2019-08-30
mackay,AU,-17.77,152.99,51.80,93,3.36,90,2019-08-30
lakatoro,VU,-15.53,169.48,75.41,72,9.15,100,2019-08-30
teguldet,RU,57.94,87.48,62.45,95,5.50,52,2019-08-30
tual,ID,-7.74,135.64,74.51,85,18.50,17,2019-08-30
damavand,IR,35.79,51.81,86.00,20,6.93,20,2019-08-30
kokstad,ZA,-30.44,29.35,48.05,90,4.47,66,2019-08-30
weiser,US,45.05,-117.06,84.20,35,10.29,1,2019-08-30
almaznyy,RU,62.91,114.93,75.20,33,8.95,0,2019-08-30
kysyl-syr,RU,61.75,123.08,49.85,75,1.79,100,2019-08-30
svetlogorsk,RU,67.48,90.81,46.40,93,15.66,90,2019-08-30
loding,NO,67.53,14.70,78.01,61,4.70,40,2019-08-30
kearney,US,40.61,-99.34,72.00,82,6.93,90,2019-08-30
ironton,US,38.59,-82.81,84.99,58,8.05,1,2019-08-30
bereda,SO,13.23,53.34,84.99,69,6.93,20,2019-08-30
merritt island,US,29.01,-80.06,91.00,70,6.93,75,2019-08-30
delijan,IR,34.25,50.71,74.69,25,0.74,20,2019-08-30
vagur,FO,60.29,-7.78,50.93,89,22.19,65,2019-08-30
ponta do sol,PT,31.57,-19.35,83.69,27,5.99,0,2019-08-30
magdagachi,RU,53.97,125.87,48.77,76,5.57,0,2019-08-30
rawson,AR,-50.55,-55.82,54.53,35,18.52,96,2019-08-30
kaputa,ZM,-8.20,29.09,71.09,28,4.14,0,2019-08-30
waipawa,NZ,-44.05,175.30,43.00,83,2.26,24,2019-08-30
cabo san lucas,MX,21.71,-112.04,90.00,70,11.41,5,2019-08-30
mingshui,CN,36.89,117.30,77.03,91,7.23,99,2019-08-30
havre-saint-pierre,CA,57.37,-64.18,64.40,77,18.34,1,2019-08-30
padang,ID,-2.53,96.91,81.17,84,12.03,100,2019-08-30
yakeshi,CN,48.44,121.17,50.93,84,1.34,19,2019-08-30
souillac,MU,-62.81,76.85,91.00,31,3.36,0,2019-08-30
hofn,IS,62.14,-15.34,53.60,62,10.29,90,2019-08-30
nanfeng,CN,23.92,111.45,68.93,74,1.41,86,2019-08-30
jati,PK,24.50,68.37,86.03,75,9.26,76,2019-08-30
coihaique,CL,-49.12,-76.37,50.00,53,9.17,40,2019-08-30
north shore,NZ,-36.66,174.70,45.00,93,5.82,0,2019-08-30
henties bay,NA,-23.04,7.63,55.99,81,11.99,0,2019-08-30
makhinjauri,GE,41.51,41.67,73.40,83,8.05,75,2019-08-30
tiksi,RU,88.96,131.54,35.09,85,7.05,11,2019-08-30
batagay,RU,67.64,134.69,35.45,67,2.04,0,2019-08-30
ust-koksa,RU,50.45,85.55,48.41,84,6.78,62,2019-08-30
rumoi,JP,43.68,141.59,66.23,89,14.52,0,2019-08-30
abnub,EG,27.76,31.02,95.00,24,11.41,0,2019-08-30
buala,SB,-6.38,161.26,79.91,81,6.24,87,2019-08-30
trairi,BR,4.56,-34.58,92.51,32,11.70,94,2019-08-30
maldonado,UY,-34.81,-55.34,53.60,66,5.82,90,2019-08-30
haines junction,CA,59.01,-142.84,53.63,45,1.16,0,2019-08-30
lazaro cardenas,MX,15.02,-104.14,88.00,42,8.05,40,2019-08-30
kahului,US,26.84,-151.47,78.80,74,11.41,1,2019-08-30
sao joao da barra,BR,-31.50,-28.59,80.60,51,20.80,20,2019-08-30
siwana,IN,25.46,72.46,85.31,74,7.16,100,2019-08-30
anadyr,RU,63.51,175.68,50.00,93,15.66,20,2019-08-30
sheridan,US,45.18,-106.35,77.00,49,6.93,20,2019-08-30
pangody,RU,69.16,74.51,45.89,95,4.38,99,2019-08-30
tura,IN,25.69,90.21,40.31,81,1.01,10,2019-08-30
los llanos de aridane,ES,31.25,-21.92,77.00,73,14.99,75,2019-08-30
provideniya,RU,42.68,-179.22,44.09,88,8.93,100,2019-08-30
wloszczowa,PL,50.80,20.14,77.00,55,1.99,92,2019-08-30
honiara,SB,-13.99,157.35,75.20,100,2.24,75,2019-08-30
mount isa,AU,-20.85,139.99,57.20,22,6.93,0,2019-08-30
marawi,SD,21.51,26.16,78.01,87,5.01,84,2019-08-30
cajimos,PH,12.71,122.38,80.27,77,1.28,100,2019-08-30
kasur,PK,31.14,74.37,75.20,106,4.70,75,2019-08-30
ulaanbaatar,MN,48.22,105.42,48.20,81,4.47,0,2019-08-30
hobyo,SO,1.73,50.93,77.03,79,27.60,3,2019-08-30
gigmoto,PH,14.80,126.18,80.63,77,5.66,100,2019-08-30
isangel,VU,-19.53,171.85,74.33,83,15.35,100,2019-08-30
torrington,US,42.04,-104.17,69.80,59,14.99,74,2019-08-30
port keats,AU,-13.24,128.26,64.25,26,6.08,88,2019-08-30
abha,SA,18.43,41.12,77.00,73,8.05,20,2019-08-30
gaoua,BF,10.19,-3.72,79.73,81,3.74,76,2019-08-30
auki,SB,-6.12,163.67,78.11,81,7.20,71,2019-08-30
owando,CG,0.51,16.03,80.63,67,2.15,90,2019-08-30
tshela,CD,-4.91,12.43,74.15,77,4.45,74,2019-08-30
la ronge,CA,56.12,-105.69,59.00,72,3.36,20,2019-08-30
andalan,PH,6.11,121.45,74.87,82,3.09,67,2019-08-30
olinda,BR,-9.03,-30.61,46.00,93,5.82,0,2019-08-30
sioux lookout,CA,51.58,-91.36,60.80,67,8.05,90,2019-08-30
mayumba,GA,-4.33,10.44,72.71,87,9.51,100,2019-08-30
albemarle,US,35.42,-79.92,88.00,45,1.07,1,2019-08-30
sur,OM,20.20,61.86,85.13,49,9.53,81,2019-08-30
labytnangi,RU,67.57,66.33,40.31,93,10.42,96,2019-08-30
prudy,RU,57.80,46.16,61.01,51,4.65,93,2019-08-30
jalu,LY,25.80,25.04,85.85,23,5.91,0,2019-08-30
adjumani,UG,3.34,32.23,69.65,93,4.99,31,2019-08-30
sorland,NO,71.67,9.20,55.40,87,12.75,40,2019-08-30
sobolevo,RU,55.81,152.55,56.33,82,7.70,29,2019-08-30
tarakan,ID,3.24,118.40,79.91,78,5.08,0,2019-08-30
mayo,CA,63.54,-134.79,41.00,86,1.25,75,2019-08-30
tateyama,JP,23.40,143.95,73.99,95,4.00,76,2019-08-30
knysna,ZA,-38.53,22.37,57.20,71,9.17,75,2019-08-30
monywa,MM,22.08,94.73,85.67,76,3.40,100,2019-08-30
brownsville,US,26.24,-97.07,95.00,50,9.17,20,2019-08-30
sisimiut,GL,66.55,-57.51,45.53,64,9.71,100,2019-08-30
koulikoro,ML,12.65,-6.72,86.00,58,5.82,40,2019-08-30
ahuimanu,US,36.81,-151.25,80.60,65,4.70,40,2019-08-30
itarema,BR,0.79,-38.08,87.29,46,16.62,93,2019-08-30
aksu,KZ,51.66,77.31,62.60,48,11.18,0,2019-08-30
tessalit,ML,22.52,0.61,99.89,23,2.62,54,2019-08-30
vao,NC,-26.23,168.88,59.75,91,6.93,59,2019-08-30
wilmington,US,31.48,-75.76,87.01,45,11.41,40,2019-08-30
mitu,CO,1.54,-70.24,59.93,69,0.98,33,2019-08-30
broken hill,AU,-30.79,139.75,50.00,53,9.17,0,2019-08-30
bowen,AU,-16.71,151.11,64.00,93,3.36,75,2019-08-30
buritis,BR,-15.67,-46.69,93.05,23,3.18,68,2019-08-30
shaowu,CN,27.60,117.00,69.29,79,1.07,46,2019-08-30
heihe,CN,49.83,126.71,51.80,87,4.47,0,2019-08-30
pochutla,MX,9.41,-96.70,91.40,46,9.17,40,2019-08-30
caxias,BR,-5.12,-43.53,95.00,28,6.93,0,2019-08-30
almunecar,ES,36.10,-3.71,84.99,54,1.01,5,2019-08-30
mahon,ES,39.24,4.49,66.00,82,23.04,75,2019-08-30
shu,KZ,43.66,73.02,70.55,29,6.64,0,2019-08-30
marzuq,LY,24.84,17.58,84.23,40,6.98,0,2019-08-30
manokwari,ID,1.63,135.20,73.61,76,3.02,91,2019-08-30
novikovo,RU,45.67,144.68,61.91,60,4.43,100,2019-08-30
geraldton,AU,-31.57,98.37,51.80,76,12.75,90,2019-08-30
jiuquan,CN,36.49,98.24,70.73,18,6.67,0,2019-08-30
raudeberg,NO,69.53,0.89,57.99,93,31.09,75,2019-08-30
cabra,PH,14.12,117.47,98.60,20,9.17,20,2019-08-30
tabou,CI,2.98,-7.23,77.57,82,6.17,39,2019-08-30
maroantsetra,MG,-15.54,50.17,60.11,96,2.19,21,2019-08-30
mercedes,AR,-34.45,-65.05,61.55,58,11.72,75,2019-08-30
gizo,SB,-13.17,156.00,84.20,74,5.82,20,2019-08-30
nanga eboko,CM,4.50,12.46,70.37,95,5.91,87,2019-08-30
ler,SD,8.58,31.02,66.99,59,17.22,75,2019-08-30
panzhihua,CN,26.51,102.82,62.99,86,1.30,98,2019-08-30
valdivia,CO,7.25,-75.50,51.80,81,2.24,40,2019-08-30
luderitz,NA,-28.52,2.66,54.53,80,25.93,0,2019-08-30
sao desiderio,BR,-12.69,-44.42,93.05,18,6.89,0,2019-08-30
necochea,AR,-52.94,-51.79,57.95,45,13.15,0,2019-08-30
praia,CV,6.19,-23.79,78.80,33,4.70,0,2019-08-30
cap-aux-meules,CA,47.44,-63.03,66.20,88,12.75,90,2019-08-30
changping,CN,40.32,116.45,78.80,34,4.47,0,2019-08-30
lavrentiya,RU,67.31,-170.59,46.43,83,5.03,80,2019-08-30
makinsk,KZ,52.83,69.60,48.05,89,15.21,100,2019-08-30
poronaysk,RU,49.13,144.10,54.71,96,7.65,100,2019-08-30
cabedelo,BR,-6.66,-29.16,78.80,78,13.87,75,2019-08-30
lamu,KE,-4.63,42.95,44.09,90,0.87,38,2019-08-30
san carlos de bariloche,AR,-40.67,-71.59,44.60,56,17.22,75,2019-08-30
zhigansk,RU,69.79,121.81,43.73,86,2.33,10,2019-08-30
kefamenanu,ID,-8.84,123.89,62.45,64,3.02,92,2019-08-30
ourossogui,SN,15.34,-13.89,93.20,59,4.70,40,2019-08-30
takoradi,GH,1.29,-0.25,77.39,80,7.23,91,2019-08-30
lata,SB,-6.09,165.25,43.01,96,1.39,100,2019-08-30
bosobolo,CD,3.86,19.91,73.97,92,2.59,73,2019-08-30
tra vinh,VN,9.66,106.58,77.21,89,5.73,100,2019-08-30
taoudenni,ML,26.16,-4.31,106.01,17,9.51,47,2019-08-30
puerto leguizamo,CO,-0.93,-75.08,87.29,54,4.34,53,2019-08-30
samarai,PG,-12.54,152.68,71.81,85,9.48,100,2019-08-30
berdigestyakh,RU,62.41,126.52,47.51,72,2.28,67,2019-08-30
gao,ML,17.75,0.07,96.65,31,8.77,35,2019-08-30
beckley,US,38.05,-80.79,82.99,53,4.70,1,2019-08-30
karaton,KZ,46.58,53.83,77.00,73,3.36,20,2019-08-30
nioro,ML,17.13,-9.18,81.53,82,10.58,100,2019-08-30
caucaia,BR,-1.43,-36.99,86.00,51,21.92,20,2019-08-30
dzhida,RU,50.80,106.10,55.43,88,2.66,7,2019-08-30
abancay,PE,-14.38,-72.90,53.60,58,12.75,40,2019-08-30
lhokseumawe,ID,4.77,97.18,71.63,82,3.76,100,2019-08-30
molo,KE,-0.54,35.67,54.53,96,4.61,100,2019-08-30
wanning,CN,15.66,114.52,79.00,54,4.70,20,2019-08-30
beyneu,KZ,44.69,56.41,60.11,44,12.68,7,2019-08-30
ust-uda,RU,55.06,102.67,53.63,81,1.50,47,2019-08-30
les cayes,HT,15.52,-73.74,84.23,77,15.77,21,2019-08-30
lenger,KZ,42.03,70.37,69.80,37,2.24,0,2019-08-30
serebryansk,KZ,49.15,83.30,57.77,88,7.14,62,2019-08-30
mairi,BR,-11.58,-40.17,77.21,54,8.43,79,2019-08-30
west wendover,US,40.84,-113.59,78.80,31,5.82,1,2019-08-30
middle island,KN,15.86,-64.13,84.99,51,11.41,1,2019-08-30
wewak,PG,-0.29,144.22,75.05,81,3.98,17,2019-08-30
luan,CN,31.62,116.75,79.00,54,4.70,6,2019-08-30
galle,LK,3.12,78.65,69.83,98,2.91,100,2019-08-30
solkan,SI,46.05,13.60,89.60,43,6.93,0,2019-08-30
sinnamary,GF,6.64,-52.34,82.07,77,18.54,0,2019-08-30
nizhniy kuranakh,RU,60.63,123.13,42.65,95,1.34,0,2019-08-30
tando adam,PK,25.63,68.68,91.40,66,4.70,50,2019-08-30
ola,RU,58.25,153.23,48.77,73,5.35,1,2019-08-30
lima,PE,-15.71,-82.80,62.60,82,4.70,90,2019-08-30
bettiah,IN,26.69,84.57,85.67,70,0.67,100,2019-08-30
constitucion,MX,23.46,-111.80,70.00,68,4.70,5,2019-08-30
khasan,RU,38.96,131.87,57.77,93,4.92,35,2019-08-30
payo,PH,15.24,125.97,64.97,72,3.85,50,2019-08-30
aranos,NA,-25.15,19.02,53.27,46,2.39,0,2019-08-30
lakshmipur,BD,22.85,90.89,82.97,82,6.93,100,2019-08-30
alta floresta,BR,-9.59,-53.27,106.19,12,0.43,0,2019-08-30
huadian,CN,42.96,127.08,54.17,98,4.43,52,2019-08-30
bati,ET,11.40,40.30,72.71,50,3.69,22,2019-08-30
stratonion,GR,40.53,23.82,84.99,36,1.43,12,2019-08-30
boa vista,BR,3.43,-62.76,87.80,62,6.93,75,2019-08-30
picota,PE,-7.14,-76.16,82.40,290,3.36,40,2019-08-30
ekhabi,RU,54.34,147.56,53.63,94,19.10,100,2019-08-30
yerbogachen,RU,62.47,108.29,48.41,93,2.57,5,2019-08-30
belaya gora,RU,66.38,147.50,32.21,78,5.26,0,2019-08-30
yangjiang,CN,21.64,111.69,74.33,90,3.33,66,2019-08-30
ambunti,PG,-4.90,142.37,71.81,99,0.51,57,2019-08-30
abaza,RU,52.33,89.79,57.23,93,3.29,75,2019-08-30
umm lajj,SA,23.75,36.37,85.85,73,11.72,0,2019-08-30
yelovo,RU,56.87,54.66,44.27,78,7.99,0,2019-08-30
slave lake,CA,54.61,-114.94,51.80,81,3.36,1,2019-08-30
palana,RU,59.46,158.54,49.13,85,11.18,99,2019-08-30
uruacu,BR,-14.35,-49.48,97.91,17,4.50,83,2019-08-30
presidencia roque saenz pena,AR,-26.06,-62.29,86.39,47,12.71,10,2019-08-30
vestmanna,FO,70.94,-9.16,51.80,93,11.41,89,2019-08-30
alta gracia,AR,-32.02,-64.94,66.99,25,8.05,0,2019-08-30
mecca,SA,21.18,40.80,85.13,64,5.86,11,2019-08-30
xining,CN,33.14,97.86,42.47,86,1.92,85,2019-08-30
hay river,CA,64.81,-120.15,50.00,71,6.93,75,2019-08-30
kajaani,FI,64.32,28.39,62.60,88,6.93,90,2019-08-30
nouadhibou,MR,21.44,-21.11,87.80,58,14.99,20,2019-08-30
merced,US,37.34,-120.51,77.00,50,10.29,1,2019-08-30
batouri,CM,4.85,14.70,72.17,87,2.46,17,2019-08-30
camacha,PT,33.16,-14.13,77.00,69,13.87,40,2019-08-30
el alto,PE,-3.80,-83.84,59.00,14,4.70,20,2019-08-30
porto novo,CV,15.70,-28.57,82.40,26,3.36,20,2019-08-30
porterville,US,36.13,-119.05,82.00,53,3.74,1,2019-08-30
gerash,IR,26.94,52.97,93.20,14,6.93,0,2019-08-30
egvekinot,RU,61.55,-178.00,43.91,94,1.36,100,2019-08-30
wangqing,CN,43.46,129.45,53.81,95,2.35,72,2019-08-30
saint-augustin,CA,57.55,-57.45,73.99,68,11.41,40,2019-08-30
palmer,US,62.37,-148.02,57.00,35,12.75,0,2019-08-30
macae,BR,-22.68,-41.19,89.60,38,10.29,0,2019-08-30
xichang,CN,27.29,102.15,53.63,98,3.60,100,2019-08-30
staraya kulatka,RU,52.60,47.50,45.71,79,6.29,0,2019-08-30
fayaoue,NC,-20.31,166.19,73.97,74,12.21,100,2019-08-30
dicabisagan,PH,17.70,126.48,72.53,96,2.86,100,2019-08-30
abalak,NE,16.95,5.86,92.87,31,11.61,62,2019-08-30
okato,NZ,-38.70,172.18,42.01,84,3.00,2,2019-08-30
san quintin,MX,19.94,-129.83,75.05,92,1.95,99,2019-08-30
namatanai,PG,-4.17,153.22,79.55,84,15.28,64,2019-08-30
iracoubo,GF,9.22,-52.03,82.79,78,9.33,8,2019-08-30
vega de alatorre,MX,21.68,-94.40,89.45,47,3.27,100,2019-08-30
grand-santi,GF,3.25,-55.87,93.95,38,4.16,15,2019-08-30
valday,RU,57.80,33.16,60.29,98,6.22,94,2019-08-30
mikumi,TZ,-7.15,36.72,67.67,59,4.14,55,2019-08-30
mounana,GA,-1.26,13.30,82.40,74,3.36,20,2019-08-30
togur,RU,61.03,83.61,54.35,94,7.52,96,2019-08-30
tanete,ID,-6.43,121.42,78.11,72,15.82,7,2019-08-30
ypsonas,CY,33.77,32.61,91.40,88,19.46,0,2019-08-30
khromtau,KZ,50.07,59.05,48.41,86,17.05,100,2019-08-30
cap malheureux,MU,-13.75,59.74,73.00,73,10.29,20,2019-08-30
chapais,CA,54.20,-74.22,55.40,87,13.87,90,2019-08-30
anshun,CN,25.99,105.49,60.47,87,3.27,95,2019-08-30
kalabo,ZM,-14.93,21.91,81.17,21,1.01,48,2019-08-30
khani,RU,58.32,122.25,77.00,78,9.17,90,2019-08-30
key largo,US,24.82,-80.37,88.00,74,8.05,20,2019-08-30
coquimbo,CL,-28.51,-81.01,57.20,76,10.29,20,2019-08-30
sonderborg,DK,54.88,9.82,71.01,52,4.70,75,2019-08-30
daru,PG,-11.42,144.20,71.81,86,6.60,94,2019-08-30
laguna,BR,-34.11,-39.24,86.00,74,6.93,40,2019-08-30
verkhoyansk,RU,65.28,133.67,39.59,52,3.24,100,2019-08-30
kampot,KH,10.85,103.46,82.40,78,11.41,75,2019-08-30
richards bay,ZA,-29.87,34.82,67.85,78,12.68,98,2019-08-30
matay,EG,27.93,30.61,86.57,21,7.00,0,2019-08-30
leon,ES,42.40,-5.46,71.01,64,5.82,1,2019-08-30
naze,JP,20.49,140.71,76.31,84,5.32,91,2019-08-30
uspenka,RU,57.26,69.59,64.79,52,4.79,74,2019-08-30
yeniseysk,RU,59.24,89.90,56.33,97,4.72,3,2019-08-30
pyay,MM,18.76,94.43,78.11,94,2.24,100,2019-08-30
rocha,UY,-43.70,-46.77,55.79,62,8.37,100,2019-08-30
kristianstad,SE,55.89,13.93,71.01,72,3.36,0,2019-08-30
west bay,KY,18.81,-82.62,66.99,82,11.41,90,2019-08-30
chabahar,IR,24.00,60.34,86.00,70,1.48,0,2019-08-30
denpasar,ID,-9.48,114.84,77.00,83,12.75,20,2019-08-30
formosa,AR,-25.33,-58.81,87.29,26,3.00,74,2019-08-30
cherskiy,RU,84.35,161.11,37.97,92,9.22,96,2019-08-30
emba,KZ,47.80,59.91,82.40,83,11.41,20,2019-08-30
amapa,BR,4.63,-46.24,91.40,52,6.93,40,2019-08-30
saint-michel-des-saints,CA,47.61,-73.85,66.00,7,1.01,41,2019-08-30
bahia de caraquez,EC,0.23,-81.19,73.40,78,11.41,75,2019-08-30
